Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
1.19615	Src2	0	77	FullDelay	0.529481	529481	2	2
1.2129	Src1	0	41	LastDelay	0.229569	229569	1	2
1.2129	Src1	0	41	FullDelay	0.871236	871236	2	2
1.22149	Src1	0	42	LastDelay	0.229828	229828	1	2
1.22149	Src1	0	42	FullDelay	0.871495	871495	2	2
1.23017	Src1	0	44	LastDelay	0.221833	221833	1	2
1.23017	Src1	0	44	FullDelay	0.8635	863500	2	2
1.23876	Src1	0	45	LastDelay	0.222092	222092	1	2
1.23876	Src1	0	45	FullDelay	0.863759	863759	2	2
1.23915	Src2	0	106	LastDelay	0.239148	239148	1	3
1.23915	Src2	0	106	FullDelay	0.239148	239148	1	3
1.24774	Src2	0	107	LastDelay	0.239407	239407	1	3
1.24774	Src2	0	107	FullDelay	0.239407	239407	1	3
1.25633	Src2	0	108	LastDelay	0.239666	239666	1	3
1.25633	Src2	0	108	FullDelay	0.239666	239666	1	3
1.26492	Src2	0	109	LastDelay	0.239924	239924	1	3
1.26492	Src2	0	109	FullDelay	0.239924	239924	1	3
1.27352	Src2	0	110	LastDelay	0.240183	240183	1	3
1.27352	Src2	0	110	FullDelay	0.240183	240183	1	3
1.28215	Src2	0	111	LastDelay	0.240484	240484	1	3
1.28215	Src2	0	111	FullDelay	0.240484	240484	1	3
1.29074	Src2	0	112	LastDelay	0.24074	240740	1	3
1.29074	Src2	0	112	FullDelay	0.24074	240740	1	3
1.29937	Src2	0	113	LastDelay	0.241041	241041	1	3
1.29937	Src2	0	113	FullDelay	0.241041	241041	1	3
1.30796	Src2	0	114	LastDelay	0.241298	241298	1	3
1.30796	Src2	0	114	FullDelay	0.241298	241298	1	3
1.31656	Src2	0	115	LastDelay	0.241556	241556	1	3
1.31656	Src2	0	115	FullDelay	0.241556	241556	1	3
1.32515	Src2	0	116	LastDelay	0.241815	241815	1	3
1.32515	Src2	0	116	FullDelay	0.241815	241815	1	3
1.33374	Src2	0	117	LastDelay	0.242074	242074	1	3
1.33374	Src2	0	117	FullDelay	0.242074	242074	1	3
1.34233	Src2	0	99	LastDelay	0.217332	217332	1	2
1.34233	Src2	0	99	FullDelay	0.492332	492332	2	2
1.35917	Src1	0	59	LastDelay	0.225833	225833	1	2
1.35917	Src1	0	59	FullDelay	0.859167	859167	2	2
1.36776	Src1	0	60	LastDelay	0.226092	226092	1	2
1.36776	Src1	0	60	FullDelay	0.859425	859425	2	2
1.37639	Src1	0	61	LastDelay	0.226391	226391	1	2
1.37639	Src1	0	61	FullDelay	0.859724	859724	2	2
1.38498	Src1	0	62	LastDelay	0.226649	226649	1	2
1.38498	Src1	0	62	FullDelay	0.859983	859983	2	2
1.39361	Src1	0	63	LastDelay	0.226948	226948	1	2
1.39361	Src1	0	63	FullDelay	0.860281	860281	2	2
1.40221	Src1	0	64	LastDelay	0.227207	227207	1	2
1.40221	Src1	0	64	FullDelay	0.86054	860540	2	2
1.41084	Src1	0	65	LastDelay	0.227505	227505	1	2
1.41084	Src1	0	65	FullDelay	0.860839	860839	2	2
1.41943	Src1	0	68	LastDelay	0.227764	227764	1	2
1.41943	Src1	0	68	FullDelay	0.844431	844431	2	2
1.42806	Src1	0	69	LastDelay	0.228063	228063	1	2
1.42806	Src1	0	69	FullDelay	0.844729	844729	2	2
1.43665	Src1	0	70	LastDelay	0.228321	228321	1	2
1.43665	Src1	0	70	FullDelay	0.844988	844988	2	2
1.44529	Src1	0	71	LastDelay	0.22862	228620	1	2
1.44529	Src1	0	71	FullDelay	0.845287	845287	2	2
1.45388	Src1	0	74	LastDelay	0.228879	228879	1	2
1.45388	Src1	0	74	FullDelay	0.828879	828879	2	2
1.46251	Src1	0	75	LastDelay	0.229177	229177	1	2
1.46251	Src1	0	75	FullDelay	0.829177	829177	2	2
1.4711	Src1	0	76	LastDelay	0.229436	229436	1	2
1.4711	Src1	0	76	FullDelay	0.829436	829436	2	2
1.47973	Src1	0	77	LastDelay	0.229735	229735	1	2
1.47973	Src1	0	77	FullDelay	0.829735	829735	2	2
1.48833	Src1	0	78	LastDelay	0.229993	229993	1	2
1.48833	Src1	0	78	FullDelay	0.779993	779993	2	2
1.48872	Src2	0	133	LastDelay	0.238716	238716	1	3
1.48872	Src2	0	133	FullDelay	0.238716	238716	1	3
1.49735	Src2	0	100	LastDelay	0.214017	214017	1	2
1.49735	Src2	0	100	FullDelay	0.605684	605684	2	2
1.5141	Src1	0	96	LastDelay	0.247436	247436	1	3
1.5141	Src1	0	96	FullDelay	0.247436	247436	1	3
1.52277	Src1	0	97	LastDelay	0.247775	247775	1	3
1.52277	Src1	0	97	FullDelay	0.247775	247775	1	3
1.53137	Src1	0	98	LastDelay	0.248033	248033	1	3
1.53137	Src1	0	98	FullDelay	0.248033	248033	1	3
1.54	Src1	0	99	LastDelay	0.248332	248332	1	3
1.54	Src1	0	99	FullDelay	0.248332	248332	1	3
1.54859	Src1	0	100	LastDelay	0.248591	248591	1	3
1.54859	Src1	0	100	FullDelay	0.248591	248591	1	3
1.55722	Src1	0	101	LastDelay	0.248889	248889	1	3
1.55722	Src1	0	101	FullDelay	0.248889	248889	1	3
1.56581	Src1	0	102	LastDelay	0.249148	249148	1	3
1.56581	Src1	0	102	FullDelay	0.249148	249148	1	3
1.57445	Src1	0	103	LastDelay	0.249447	249447	1	3
1.57445	Src1	0	103	FullDelay	0.249447	249447	1	3
1.57484	Src2	0	134	LastDelay	0.241503	241503	1	3
1.57484	Src2	0	134	FullDelay	0.241503	241503	1	3
1.58343	Src2	0	135	LastDelay	0.241762	241762	1	3
1.58343	Src2	0	135	FullDelay	0.241762	241762	1	3
1.59206	Src2	0	136	LastDelay	0.242062	242062	1	3
1.59206	Src2	0	136	FullDelay	0.242062	242062	1	3
1.60881	Src1	0	107	LastDelay	0.250481	250481	1	3
1.60881	Src1	0	107	FullDelay	0.250481	250481	1	3
1.61741	Src1	0	108	LastDelay	0.25074	250740	1	3
1.61741	Src1	0	108	FullDelay	0.25074	250740	1	3
1.61788	Src2	0	139	LastDelay	0.234545	234545	1	3
1.61788	Src2	0	139	FullDelay	0.234545	234545	1	3
1.62647	Src2	0	140	LastDelay	0.234802	234802	1	3
1.62647	Src2	0	140	FullDelay	0.234802	234802	1	3
1.6351	Src2	0	141	LastDelay	0.235102	235102	1	3
1.6351	Src2	0	141	FullDelay	0.235102	235102	1	3
1.64373	Src2	0	142	LastDelay	0.235401	235401	1	3
1.64373	Src2	0	142	FullDelay	0.235401	235401	1	3
1.65232	Src2	0	143	LastDelay	0.235658	235658	1	3
1.65232	Src2	0	143	FullDelay	0.235658	235658	1	3
1.66096	Src2	0	144	LastDelay	0.235958	235958	1	3
1.66096	Src2	0	144	FullDelay	0.235958	235958	1	3
1.66955	Src2	0	145	LastDelay	0.236215	236215	1	3
1.66955	Src2	0	145	FullDelay	0.236215	236215	1	3
1.67818	Src2	0	146	LastDelay	0.236516	236516	1	3
1.67818	Src2	0	146	FullDelay	0.236516	236516	1	3
1.68681	Src2	0	147	LastDelay	0.236814	236814	1	3
1.68681	Src2	0	147	FullDelay	0.236814	236814	1	3
1.6954	Src2	0	148	LastDelay	0.237071	237071	1	3
1.6954	Src2	0	148	FullDelay	0.237071	237071	1	3
1.70404	Src2	0	149	LastDelay	0.237372	237372	1	3
1.70404	Src2	0	149	FullDelay	0.237372	237372	1	3
1.71267	Src2	0	150	LastDelay	0.23767	237670	1	3
1.71267	Src2	0	150	FullDelay	0.23767	237670	1	3
1.72126	Src2	0	151	LastDelay	0.237927	237927	1	3
1.72126	Src2	0	151	FullDelay	0.237927	237927	1	3
1.72985	Src2	0	97	LastDelay	0.221519	221519	1	2
1.72985	Src2	0	97	FullDelay	0.896519	896519	3	2
1.73844	Src2	0	153	LastDelay	0.238444	238444	1	3
1.73844	Src2	0	153	FullDelay	0.238444	238444	1	3
1.7552	Src1	0	125	LastDelay	0.246865	246865	1	3
1.7552	Src1	0	125	FullDelay	0.246865	246865	1	3
1.76387	Src1	0	126	LastDelay	0.247204	247204	1	3
1.76387	Src1	0	126	FullDelay	0.247204	247204	1	3
1.77246	Src1	0	127	LastDelay	0.247463	247463	1	3
1.77246	Src1	0	127	FullDelay	0.247463	247463	1	3
1.78105	Src1	0	128	LastDelay	0.247721	247721	1	3
1.78105	Src1	0	128	FullDelay	0.247721	247721	1	3
1.78969	Src1	0	129	LastDelay	0.24802	248020	1	3
1.78969	Src1	0	129	FullDelay	0.24802	248020	1	3
1.79828	Src1	0	130	LastDelay	0.248279	248279	1	3
1.79828	Src1	0	130	FullDelay	0.248279	248279	1	3
1.79867	Src2	0	126	LastDelay	0.215335	215335	1	2
1.79867	Src2	0	126	FullDelay	0.607002	607002	2	2
1.8073	Src2	0	127	LastDelay	0.215636	215636	1	2
1.8073	Src2	0	127	FullDelay	0.607302	607302	2	2
1.81593	Src2	0	128	LastDelay	0.215934	215934	1	2
1.81593	Src2	0	128	FullDelay	0.607601	607601	2	2
1.82452	Src2	0	66	LastDelay	0.216191	216191	1	2
1.82452	Src2	0	66	FullDelay	1.26619	1.26619e+06	4	2
1.83316	Src2	0	78	LastDelay	0.216492	216492	1	2
1.83316	Src2	0	78	FullDelay	1.15816	1.15816e+06	4	2
1.84179	Src2	0	79	LastDelay	0.21679	216790	1	2
1.84179	Src2	0	79	FullDelay	1.15846	1.15846e+06	4	2
1.85038	Src2	0	101	LastDelay	0.217047	217047	1	2
1.85038	Src2	0	101	FullDelay	0.95038	950380	3	2
1.85901	Src2	0	102	LastDelay	0.217348	217348	1	2
1.85901	Src2	0	102	FullDelay	0.934014	934014	3	2
1.86765	Src2	0	103	LastDelay	0.217646	217646	1	2
1.86765	Src2	0	103	FullDelay	0.934313	934313	3	2
1.87624	Src2	0	104	LastDelay	0.217903	217903	1	2
1.87624	Src2	0	104	FullDelay	0.93457	934570	3	2
1.88487	Src2	0	105	LastDelay	0.218204	218204	1	2
1.88487	Src2	0	105	FullDelay	0.93487	934870	3	2
1.8935	Src2	0	118	LastDelay	0.218502	218502	1	2
1.8935	Src2	0	118	FullDelay	0.793502	793502	3	2
1.90213	Src2	0	129	LastDelay	0.218801	218801	1	2
1.90213	Src2	0	129	FullDelay	0.685468	685468	2	2
1.91072	Src2	0	130	LastDelay	0.219058	219058	1	2
1.91072	Src2	0	130	FullDelay	0.685724	685724	2	2
1.91936	Src2	0	131	LastDelay	0.219358	219358	1	2
1.91936	Src2	0	131	FullDelay	0.686025	686025	2	2
1.92799	Src2	0	132	LastDelay	0.219657	219657	1	2
1.92799	Src2	0	132	FullDelay	0.686324	686324	2	2
1.93658	Src2	0	137	LastDelay	0.219914	219914	1	2
1.93658	Src2	0	137	FullDelay	0.569914	569914	2	2
1.94521	Src2	0	138	LastDelay	0.220214	220214	1	2
1.94521	Src2	0	138	FullDelay	0.570214	570214	2	2
1.96205	Src1	0	57	LastDelay	0.228713	228713	1	2
1.96205	Src1	0	57	FullDelay	1.47871	1.47871e+06	3	2
1.97068	Src1	0	58	LastDelay	0.229012	229012	1	2
1.97068	Src1	0	58	FullDelay	1.47901	1.47901e+06	3	2
1.97927	Src1	0	79	LastDelay	0.229271	229271	1	2
1.97927	Src1	0	79	FullDelay	1.2626	1.2626e+06	2	2
1.97966	Src2	0	152	LastDelay	0.221327	221327	1	2
1.97966	Src2	0	152	FullDelay	0.487994	487994	2	2
